secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
1,0,0,0,0,0,0,1672.6,-105.26986660,40.01042414,0,0,21,0,-255,0,0,0,0,0,0,0,0
2,0,0,1e-05,0,0,0,1672.6,-105.26986677,40.01042447,0,0,21,0,-255,0,0,0,0,0,0,0,0
3,0,0,1e-05,0,0,0,1672.6,-105.26986718,40.01042464,0,0,21,0,-255,0,0,0,0,0,0,0,0
4,0,0,1e-05,0,0,0,1672.6,-105.26986802,40.01042506,0,0,21,0,-255,0,0,0,0,0,0,0,0
5,0,0,1e-05,0,0,0,1672.6,-105.26986886,40.01042531,0,0,21,0,-255,0,0,0,0,0,0,0,0
6,0,0,1e-05,0,0,0,1672.6,-105.26986961,40.01042573,0,0,21,0,-255,0,0,0,0,0,0,0,0
7,0,0,1e-05,0,0,0,1672.6,-105.26987012,40.01042564,0,0,21,0,-255,0,0,0,0,0,0,0,0
8,110,0,1e-05,0,0,1486,1672.6,-105.26987087,40.01042631,0,0,21,0,47,0,0,0,0,0,0,0,0
9,127,0,1e-05,0,0,1611,1672.8,-105.26987138,40.01042657,0,0,21,0,55,0,0,0,0,0,0,0,0
10,129,0,1e-05,0,0,1432,1672.8,-105.26987205,40.01042673,0,0,21,0,54,0,0,0,0,0,0,0,0
11,129,0,1e-05,0,0,0,1672.8,-105.26987272,40.01042724,0,0,21,0,54,0,0,0,0,0,0,0,0
12,129,0,1e-05,0,0,0,1672.8,-105.26987456,40.01042833,0,0,21,0,54,0,0,0,0,0,0,0,0
13,0,0,1e-05,0,0,0,1672.8,-105.26987632,40.01042874,0,0,21,0,-255,0,0,0,0,0,0,0,0
14,0,0,1e-05,0,0,0,1672.6,-105.26987632,40.01042874,0,0,21,0,-255,0,0,0,0,0,0,0,0
